label,message,char_count,word_count,cleaned
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,24,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txt poboxoxwwq
safe,Is that seriously how you spell his name?,41,8,serious spell name
safe,I‰Û÷m going to try for 2 months ha ha only joking,49,11,im go tri month ha ha joke
safe,So Ì_ pay first lar... Then when is da stock comin...,53,11,pay first lar da stock comin
safe,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,20,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
safe,Ffffffffff. Alright no way I can meet up with you sooner?,57,11,ffffffffff alright way meet sooner
safe,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,28,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
safe,Lol your always so convincing.,30,5,lol alway convinc
safe,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,32,catch bu fri egg make tea eat mom left dinner feel love
safe,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,15,im back amp pack car ill let know there room
safe,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,12,ahhh work vagu rememb feel like lol
safe,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,26,wait that still clear sure sarcast that x doesnt want live us
safe,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer
safe,K tell me anything about you.,29,6,k tell anyth
safe,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,17,fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,29,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
safe,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,28,yup ok go home look time msg xuhui go learn nd may lesson
safe,"Oops, I'll let you know when my roommate's done",47,9,oop ill let know roommat done
safe,I see the letter B on my car,28,8,see letter b car
safe,Anything lor... U decide...,27,4,anyth lor u decid
safe,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,30,hello how saturday go text see youd decid anyth tomo im tri invit anyth
safe,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,17,pl go ahead watt want sure great weekend abiola
safe,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,34,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,33,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
safe,WHO ARE YOU SEEING?,19,4,see
safe,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,13,great hope like man well endow ltgt inch
safe,No calls..messages..missed calls,32,3,callsmessagesmiss call
safe,Didn't you get hep b immunisation in nigeria.,45,8,didnt get hep b immunis nigeria
safe,"Fair enough, anything going on?",31,5,fair enough anyth go
safe,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,14,yeah hope tyler cant could mayb ask around bit
safe,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,30,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
safe,What you thinked about me. First time you saw me in class.,58,12,think first time saw class
safe,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,23,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
safe,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,16,k fyi x ride earli tomorrow morn he crash place tonight
safe,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,55,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,22,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
safe,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,13,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,27,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss
safe,"Sorry, I'll call later in meeting.",34,6,sorri ill call later meet
safe,Tell where you reached,22,4,tell reach
safe,Yes..gauti and sehwag out of odi series.,40,7,yesgauti sehwag odi seri
safe,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,23,gonna pick burger way home cant even move pain kill
safe,Ha ha ha good joke. Girls are situation seekers.,48,9,ha ha ha good joke girl situat seeker
safe,Its a part of checking IQ,25,6,part check iq
safe,"Sorry my roommates took forever, it ok if I come by now?",56,12,sorri roommat took forev ok come
safe,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,24,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,28,valu custom pleas advis follow recent review mob award bonu prize call
safe,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,23,today song dedic day song u dedic send ur valuabl frnd first rpli
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,22,urgent ur award complimentari trip eurodisinc trav acoentri claim txt di morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,15,hear new divorc barbi come ken stuff
safe,I plane to give on this month end.,34,8,plane give month end
safe,Wah lucky man... Then can save money... Hee...,46,8,wah lucki man save money hee
safe,Finished class where are you.,29,5,finish class
safe,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,10,hi babe im home wanna someth xx
safe,K..k:)where are you?how did you performed?,42,6,kkwhere youhow perform
safe,U can call me now...,20,5,u call
safe,I am waiting machan. Call me once you free.,43,9,wait machan call free
safe,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,14,that cool gentleman treat digniti respect
safe,I like you peoples very much:) but am very shy pa.,50,11,like peopl much shi pa
safe,Does not operate after  &lt;#&gt;  or what,42,7,oper ltgt
safe,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,16,still look job much ta earn
safe,"Sorry, I'll call later",22,4,sorri ill call later
safe,K. Did you call me just now ah? ,32,8,k call ah
safe,Ok i am on the way to home hi hi,32,10,ok way home hi hi
safe,You will be in the place of that man,36,9,place man
safe,Yup next stop.,14,3,yup next stop
safe,"I call you later, don't have network. If urgnt, sms me.",55,11,call later dont network urgnt sm
safe,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,26,real u get yo need ticket one jacket im done alreadi use multi
safe,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,31,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro
safe,I'm really not up to it still tonight babe,42,9,im realli still tonight babe
safe,"Ela kano.,il download, come wen ur free..",41,7,ela kanoil download come wen ur free
safe,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,62,10,yeah dont stand close tho youll catch someth
safe,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,39,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri
safe,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,26,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,23,pleas call custom servic repres ampm guarante cash prize
safe,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,20,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,22,free rington wait collect simpli text password mix verifi get usher britney fml
safe,Watching telugu movie..wat abt u?,33,5,watch telugu moviewat abt u
safe,i see. When we finish we have loads of loans to pay,51,12,see finish load loan pay
safe,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",184,39,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
safe,Please don't text me anymore. I have nothing else to say.,57,11,pleas dont text anymor noth els say
safe,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,21,okay name ur price long legal wen pick u ave x am xx
safe,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,16,im still look car buy gone drive test yet
safe,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
safe,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,36,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
safe,Umma my life and vava umma love you lot dear,44,10,umma life vava umma love lot dear
safe,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,17,thank lot wish birthday thank make birthday truli memor
safe,"Aight, I'll hit you up when I get some cash",43,10,aight ill hit get cash
safe,How would my ip address test that considering my computer isn't a minecraft server,82,14,would ip address test consid comput isnt minecraft server
safe,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,24,know grumpi old peopl mom like better lie alway one play joke
safe,Dont worry. I guess he's busy.,30,6,dont worri guess he busi
safe,What is the plural of the noun research?,40,8,plural noun research
safe,Going for dinner.msg you after.,31,5,go dinnermsg
safe,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,24,im ok wif co like tri new thing scare u dun like mah co u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,27,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
safe,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,24,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
safe,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,32,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,27,winner u special select receiv holiday flight inc speak live oper claim pmin
safe,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,12,goodo ye must speak friday eggpotato ratio tortilla need
safe,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,15,hmmmi uncl inform he pay school directli pl buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,20,privat account statement show unredeem bonu point claim call identifi code expir
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,26,urgent mobil award bonu caller prize final tri contact u call landlin boxwrc ppm
safe,here is my new address -apples&pairs&all that malarky,53,8,new address applespairsal malarki
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,27,today voda number end select receiv award match pleas call quot claim code standard rate app
safe,I am going to sao mu today. Will be done only at 12 ,52,13,go sao mu today done
safe,ÌÏ predict wat time Ì_'ll finish buying?,40,7,predict wat time finish buy
safe,"Good stuff, will do.",20,4,good stuff
safe,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,46,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
safe,Are you there in room.,22,5,room
safe,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,27,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
safe,K..k:)how much does it cost?,28,5,kkhow much cost
safe,I'm home.,9,2,im home
safe,"Dear, will call Tmorrow.pls accomodate.",39,5,dear call tmorrowpl accomod
safe,First answer my question.,25,4,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,25,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sptyron
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,28,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca pmsgp
safe,I only haf msn. It's yijue@hotmail.com,38,6,haf msn yijuehotmailcom
safe,He is there. You call and meet him,34,8,call meet
safe,No no. I will check all rooms befor activities,46,9,check room befor activ
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,32,youll rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
safe,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,20,got c lazi type forgot lect saw pouch like v nice
safe,"K, text me when you're on the way",33,8,k text your way
safe,"Sir, Waiting for your mail.",27,5,sir wait mail
safe,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,26,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni
safe,I know you are. Can you pls open the back?,42,10,know pl open back
safe,Yes see ya not on the dot,25,7,ye see ya dot
safe,Whats the staff name who is taking class for us?,48,10,what staff name take class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,29,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
safe,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,15,ummmawil call check inour life begin qatar pl pray hard
safe,K..i deleted my contact that why?,33,6,ki delet contact
safe,Sindu got job in birla soft ..,30,7,sindu got job birla soft
safe,The wine is flowing and i'm i have nevering..,45,9,wine flow im never
safe,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,15,yup thk cine better co need go plaza mah
safe,Ok... Ur typical reply...,25,4,ok ur typic repli
safe,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
safe,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,80,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
safe,Aaooooright are you at work?,28,5,aaooooright work
safe,I'm leaving my house now...,27,5,im leav hous
safe,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,33,hello love get interview today happi good boy think mear miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,19,custom servic annonc new year deliveri wait pleas call arrang deliveri
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,27,winner u special select receiv cash holiday flight inc speak live oper claim
safe,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,24,keep safe need miss alreadi envi everyon see real life
safe,New car and house for my parents.:)i have only new job in hand:),64,13,new car hous parentsi new job hand
safe,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,19,im love im excit day spend make happi
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,24,pl stop bootydeli f invit friend repli ye see wwwsmsacubootydeli stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,30,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internetservic menu
safe,I place all ur points on e cultures module already.,51,10,place ur point e cultur modul alreadi
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,27,urgent tri contact last weekend draw show prize guarante call claim code valid hr
safe,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,13,hi frnd best way avoid missunderstd wit belov one
safe,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,13,great escap fanci bridg need lager see tomo
safe,Yes :)it completely in out of form:)clark also utter waste.,59,10,ye complet formclark also utter wast
safe,"Sir, I need AXIS BANK account no and bank address.",50,10,sir need axi bank account bank address
safe,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,20,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
safe,What time you coming down later? ,33,6,time come later
safe,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,21,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
safe,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,11,well im gonna finish bath goodfin night
safe,Let me know when you've got the money so carlos can make the call,65,14,let know youv got money carlo make call
safe,U still going to the mall?,26,6,u still go mall
safe,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,30,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth
safe,Text her. If she doesnt reply let me know so i can have her log in,66,16,text doesnt repli let know log
safe,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,25,hi spoke maneesha v wed like know satisfi experi repli toll free ye
safe,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,31,lift hope offer money need especi end month approach hurt studi anyway gr weekend
safe,Lol no. U can trust me.,23,6,lol u trust
safe,ok. I am a gentleman and will treat you with dignity and respect.,65,13,ok gentleman treat digniti respect
safe,"He will, you guys close?",24,5,guy close
safe,Going on nothing great.bye,26,4,go noth greatby
safe,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,32,hello handsom find job lazi work toward get back net mummi where boytoy miss
safe,"Haha awesome, be there in a minute",34,7,haha awesom minut
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,24,pleas call custom servic repres freephon ampm guarante cash prize
safe,Have you got Xmas radio times. If not i will get it now,55,13,got xma radio time get
safe,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,19,ju reach home go bath first si use net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,10,uniqu enough find th august wwwareyouuniquecouk
safe,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,38,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week
safe,Hi :)finally i completed the course:),37,6,hi final complet cours
safe,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,22,stop howev suggest stay someon abl give or everi stool
safe,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,19,hope youv settl new school year wishin gr day
safe,Gud mrng dear hav a nice day,28,7,gud mrng dear hav nice day
safe,Did u got that persons story,28,6,u got person stori
safe,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64,14,hamster dead hey tmr meet pm orchard mrt
safe,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,30,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
safe,"Found it, ENC  &lt;#&gt; , where you at?",40,8,found enc ltgt
safe,I sent you  &lt;#&gt;  bucks,28,5,sent ltgt buck
safe,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,18,hello darlin ive finish colleg txt u finish u love kate xxx
safe,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,26,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
safe,Goodmorning sleeping ga.,24,3,goodmorn sleep ga
safe,U call me alter at 11 ok.,25,7,u call alter ok
safe,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,64,13,say like dat dun buy ericsson oso cannot oredi lar
safe,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,32,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
safe,"Aight yo, dats straight dogg",28,5,aight yo dat straight dogg
safe,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,13,pleas give us connect today ltdecimalgt refund bill
safe,Both :) i shoot big loads so get ready!,39,9,shoot big load get readi
safe,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,14,what bruv hope great break reward semest
safe,Home so we can always chat,26,6,home alway chat
safe,K:)k:)good:)study well.,23,2,kkgoodstudi well
safe,Yup... How Ì_ noe leh...,24,5,yup noe leh
safe,Sounds great! Are you home now?,31,6,sound great home
safe,Finally the match heading towards draw as your prediction.,58,9,final match head toward draw predict
safe,Tired. I haven't slept well the past few nights.,48,9,tire havent slept well past night
safe,Easy ah?sen got selected means its good..,41,7,easi ahsen got select mean good
safe,I have to take exam with march 3,32,8,take exam march
safe,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,35,yeah think use gt atm regist sure there anyway help let know sure readi
safe,Ok no prob. Take ur time.,25,6,ok prob take ur time
safe,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,161,30,os call ubandu run without instal hard diskyou use os copi import file system give repair shop
safe,"Sorry, I'll call later",22,4,sorri ill call later
safe,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,26,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",143,21,new mobil must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg
safe,Would really appreciate if you call me. Just need someone to talk to.,69,13,would realli appreci call need someon talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",137,30,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
safe,Hey company elama po mudyadhu.,30,5,hey compani elama po mudyadhu
